Date,Open,High,Low,Close,Adj_Close,Volume,Daily_Range,Price_Change,Pct_change,Prev_Close,Returns,SMA_5,SMA_10,SMA_20,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,Avg_Gain,Avg_Loss,RSI,Upper_BB,Lower_BB,ATR,Prev_Volume,Volume_Pct_Change,OBV,Lag_Close_1,Lag_Close_2,Lag_Close_3,Day_of_Week,Month,Quarter
2019-02-14,351.75,360.450012,348.329987,359.070007,359.070007,9295300,12.120024999999998,7.3200069999999755,0.02081,351.769989,0.020752,352.82,350.8,342.84,350.1,342.06,8.04000000000002,12.07,-4.02999999999998,3.75,2.25,62.5,365.41999999999996,320.26,10.6,10559100,-0.119688,18993100,351.769989,359.970001,345.730011,5,2,1
2019-02-15,358.470001,364.399994,355.5,356.869995,356.869995,9230000,8.899993999999992,-1.6000060000000076,-0.004463,359.070007,-0.006127,354.68,352.5,343.03,350.98,343.79,7.189999999999998,10.63,-3.440000000000003,3.75,2.23,62.71,366.03,320.03,10.58,9295300,-0.007025,9763100,359.070007,351.769989,359.970001,6,2,1
2019-02-19,355.799988,365.0,355.320007,361.920013,361.920013,7396600,9.679993000000024,6.120024999999998,0.017201,356.869995,0.014151,357.92,353.56,344.17,352.71,346.88,5.829999999999984,9.3,-3.4700000000000166,4.11,1.75,70.14,368.57,319.77000000000004,10.55,9230000,-0.198635,17159700,356.869995,359.070007,351.769989,3,2,1
2019-02-20,364.850006,366.709991,356.700012,359.910004,359.910004,8110700,10.009978999999987,-4.940001999999993,-0.01354,361.920013,-0.005554,357.91,353.97,345.91,355.37,347.22,8.149999999999977,8.65,-0.5000000000000231,3.27,1.89,63.37,369.55,322.27000000000004,10.34,7396600,0.096544,9049000,361.920013,356.869995,359.070007,4,2,1
2019-02-21,360.029999,362.850006,353.880005,356.970001,356.970001,6227900,8.970001000000025,-3.0599979999999505,-0.008499,359.910004,-0.008169,358.95,354.45,347.66,356.22,350.88,5.340000000000032,7.82,-2.4799999999999685,3.27,2.02,61.81,368.90000000000003,326.42,10.42,8110700,-0.232138,2821100,359.910004,361.920013,356.869995,5,2,1
2019-02-22,360.339996,366.130005,360.049988,363.019989,363.019989,7088200,6.080016999999998,2.6799930000000245,0.007437,356.970001,0.016948,359.74,356.28,349.47,356.78,351.34,5.439999999999998,7.03,-1.5900000000000025,3.68,2.02,64.56,369.31,329.63000000000005,10.34,6227900,0.138136,9909300,356.970001,359.910004,361.920013,6,2,1
2019-02-25,367.01001,371.48999,363.790009,363.910004,363.910004,7569300,7.69998099999998,-3.1000060000000076,-0.008447,363.019989,0.002452,361.15,357.91,350.77,356.87,352.51,4.360000000000014,6.42,-2.0599999999999863,2.92,2.02,59.11,370.84999999999997,330.69,10.07,7088200,0.067873,17478600,363.019989,356.970001,359.910004,2,2,1
2019-02-26,362.980011,365.700012,359.329987,364.970001,364.970001,4944600,6.370024999999998,1.9899900000000343,0.005482,363.910004,0.002913,361.76,359.84,352.23,358.5,351.53,6.970000000000027,6.35,0.6200000000000276,2.68,2.02,57.02,371.95000000000005,332.51,9.91,7569300,-0.346756,22423200,363.910004,363.019989,356.970001,3,2,1
2019-02-27,363.5,368.029999,359.799988,362.869995,362.869995,5629900,8.23001099999999,-0.6300049999999828,-0.001733,364.970001,-0.005754,362.35,360.13,353.93,358.92,350.48,8.439999999999998,6.64,1.799999999999998,2.68,1.91,58.39,370.83,337.03000000000003,9.79,4944600,0.138596,16793300,364.970001,363.910004,363.019989,4,2,1
2019-02-28,362.470001,366.390015,357.709991,358.100006,358.100006,6186800,8.680024000000003,-4.369995000000017,-0.012056,362.869995,-0.013145,362.57,360.76,354.8,360.71,350.62,10.089999999999975,6.87,3.219999999999975,2.68,1.72,60.91,370.58,339.02000000000004,9.47,5629900,0.098918,10606500,362.869995,364.970001,363.910004,5,2,1
2019-03-01,362.26001,362.869995,354.690002,357.320007,357.320007,5526500,8.179993000000024,-4.940003000000047,-0.013637,358.100006,-0.002178,361.43,360.59,355.69,359.09,351.75,7.339999999999975,6.88,0.4599999999999751,2.47,1.77,58.25,369.75,341.63,9.34,6186800,-0.106727,5080000,358.100006,362.869995,364.970001,6,3,1
2019-03-04,359.720001,362.25,348.040009,351.040009,351.040009,7487000,14.209991000000002,-8.679992000000027,-0.02413,357.320007,-0.017575,358.86,360.0,356.25,358.83,353.24,5.589999999999975,6.86,-1.2700000000000253,2.47,2.09,54.17,368.43,344.07,9.78,5526500,0.354745,-2407000,357.320007,358.100006,362.869995,2,3,1
2019-03-05,351.459991,356.170013,348.25,354.299988,354.299988,5937800,7.920012999999983,2.8399969999999826,0.008081,351.040009,0.009287,356.73,359.24,356.4,357.84,352.99,4.849999999999966,6.49,-1.6400000000000343,1.69,2.09,44.71,368.4,344.4,9.33,7487000,-0.206919,3530800,351.040009,357.320007,358.100006,3,3,1
2019-03-06,353.600006,359.880005,351.700012,359.609985,359.609985,6211900,8.179992999999968,6.009978999999987,0.016997,354.299988,0.014987,356.07,359.21,356.59,358.79,352.57,6.220000000000027,6.59,-0.3699999999999726,2.07,1.51,57.82,368.66999999999996,344.51,9.22,5937800,0.046162,9742700,354.299988,351.040009,357.320007,4,3,1
2019-03-07,360.160004,362.859985,350.5,352.600006,352.600006,6151300,12.359984999999995,-7.559998000000007,-0.020991,359.609985,-0.019493,354.97,358.77,356.61,357.57,354.16,3.409999999999968,6.36,-2.950000000000032,1.54,2.01,43.38,368.65000000000003,344.57,9.24,6211900,-0.009755,3591400,359.609985,354.299988,351.040009,5,3,1
2019-03-08,345.75,349.920013,342.470001,349.600006,349.600006,6898800,7.450011999999958,3.8500060000000076,0.011135,352.600006,-0.008508,353.43,357.43,356.86,355.95,353.67,2.2799999999999727,6.13,-3.850000000000027,1.54,2.06,42.78,368.06,345.66,9.33,6151300,0.121519,-3307400,352.600006,359.609985,354.299988,6,3,1
2019-03-11,352.0,358.980011,350.029999,358.859985,358.859985,5387300,8.950012000000015,6.859984999999995,0.019489,349.600006,0.026487,354.99,356.93,357.42,357.21,354.1,3.109999999999957,5.7,-2.5900000000000434,1.84,2.06,47.18,367.76,347.08000000000004,9.3,6898800,-0.219096,2079900,349.600006,352.600006,359.609985,2,3,1
2019-03-12,359.369995,360.130005,353.799988,356.269989,356.269989,5164600,6.330016999999998,-3.1000060000000076,-0.008626,358.859985,-0.007217,355.39,356.06,357.95,357.19,355.81,1.3799999999999955,4.92,-3.5400000000000045,1.84,2.1,46.7,366.72999999999996,349.17,9.04,5387300,-0.041338,-3084700,358.859985,349.600006,352.600006,3,3,1
2019-03-13,355.809998,362.480011,352.769989,361.209991,361.209991,6444100,9.71002199999998,5.399992999999995,0.015177,356.269989,0.013866,355.71,355.89,358.01,357.95,356.82,1.1299999999999955,3.92,-2.7900000000000045,2.2,1.89,53.79,366.87,349.15,9.09,5164600,0.247744,3359400,356.269989,358.859985,349.600006,4,3,1
2019-03-14,360.5,363.839996,358.100006,358.820007,358.820007,5271400,5.7399899999999775,-1.6799930000000245,-0.00466,361.209991,-0.006617,356.95,355.96,358.36,357.8,356.48,1.3199999999999932,3.25,-1.9300000000000068,1.77,2.07,46.09,366.72,350.0,8.85,6444100,-0.18198,-1912000,361.209991,356.269989,358.859985,5,3,1
2019-03-15,361.019989,364.0,358.890015,361.459991,361.459991,8444500,5.109984999999995,0.4400019999999927,0.001219,358.820007,0.007357,359.32,356.38,358.48,357.72,355.83,1.8900000000000432,2.84,-0.9499999999999567,1.89,2.07,47.73,366.94,350.02000000000004,8.61,5271400,0.601946,6532500,358.820007,361.209991,356.269989,6,3,1
2019-03-18,362.470001,370.970001,361.859985,363.440002,363.440002,7194700,9.11001600000003,0.9700009999999679,0.002676,361.459991,0.005478,360.24,357.62,358.81,358.49,356.78,1.7100000000000364,2.49,-0.7799999999999638,1.96,2.07,48.64,367.53000000000003,350.09,8.84,8444500,-0.148002,13727200,361.459991,358.820007,361.209991,2,3,1
2019-03-19,366.399994,366.959991,356.799988,358.779999,358.779999,7541400,10.160003000000017,-7.619995000000017,-0.020797,363.440002,-0.012822,360.74,358.06,358.65,357.69,356.68,1.009999999999991,1.92,-0.910000000000009,1.96,2.25,46.56,367.22999999999996,350.07,8.98,7194700,0.048188,6185800,363.440002,361.459991,358.820007,3,3,1
2019-03-20,358.910004,375.899994,357.01001,375.220001,375.220001,10917200,18.88998399999997,16.30999700000001,0.045443,358.779999,0.045822,363.54,359.63,359.42,360.83,359.98,0.8499999999999659,1.63,-0.780000000000034,3.13,1.91,62.1,370.76,348.08000000000004,9.71,7541400,0.447636,17103000,358.779999,363.440002,361.459991,4,3,1
2019-03-21,374.0,379.0,370.609985,377.869995,377.869995,8544000,8.390015000000005,3.869995000000017,0.010348,375.220001,0.007063,367.35,362.15,360.46,364.17,360.2,3.9700000000000273,1.82,2.150000000000027,3.32,1.85,64.22,374.4,346.52,9.72,10917200,-0.217382,25647000,375.220001,358.779999,363.440002,5,3,1
2019-03-22,375.950012,376.429993,360.040009,361.01001,361.01001,8661300,16.389984000000027,-14.940001999999993,-0.039739,377.869995,-0.044618,367.26,363.29,360.36,362.74,361.24,1.5,1.64,-0.1399999999999999,3.32,2.61,55.99,374.26,346.46000000000004,9.98,8544000,0.013729,16985700,377.869995,375.220001,358.779999,6,3,1
2019-03-25,359.0,367.040009,357.440002,366.230011,366.230011,8473800,9.600007000000005,7.23001099999999,0.020139,361.01001,0.014459,367.82,364.03,360.48,362.87,361.32,1.5500000000000114,1.66,-0.10999999999998855,3.46,2.61,57.0,374.54,346.42,10.1,8661300,-0.021648,25459500,361.01001,377.869995,375.220001,2,3,1
2019-03-26,367.869995,368.380005,358.019989,359.970001,359.970001,7666500,10.360015999999973,-7.899993999999992,-0.021475,366.230011,-0.017093,368.06,364.4,360.23,363.67,361.9,1.7700000000000387,1.73,0.04000000000003867,3.08,3.05,50.24,374.13,346.33000000000004,10.26,8473800,-0.09527,17793000,366.230011,361.01001,377.869995,3,3,1
2019-03-27,361.0,362.470001,350.369995,353.369995,353.369995,7852400,12.100006000000008,-7.630004999999983,-0.021136,359.970001,-0.018335,363.69,363.62,359.75,361.74,361.0,0.7400000000000091,1.67,-0.9299999999999908,3.08,3.03,50.41,373.91,345.59,10.24,7666500,0.024248,9940600,359.970001,366.230011,361.01001,4,3,1
2019-03-28,354.48999,355.940002,349.200012,354.609985,354.609985,4361000,6.7399899999999775,0.11999500000001717,3.39E-4,353.369995,0.003509,359.04,363.2,359.58,361.31,360.13,1.1800000000000068,1.59,-0.40999999999999326,3.17,2.81,53.01,373.91999999999996,345.24,9.99,7852400,-0.444628,14301600,353.369995,359.970001,366.230011,5,3,1
2019-03-29,357.160004,358.25,353.709991,356.559998,356.559998,4705600,4.540008999999998,-0.6000060000000076,-0.00168,354.609985,0.005499,358.15,362.71,359.54,360.25,360.68,-0.4300000000000068,1.35,-1.780000000000007,2.65,2.81,48.53,373.90000000000003,345.18,9.65,4361000,0.079019,19007200,354.609985,353.369995,359.970001,6,3,1
2019-04-01,359.0,368.329987,358.51001,366.959991,366.959991,7036100,9.819976999999994,7.959991000000002,0.022173,356.559998,0.029168,358.29,363.06,360.34,361.64,361.26,0.37999999999999545,1.28,-0.9000000000000046,3.39,2.63,56.31,374.47999999999996,346.2,10.04,4705600,0.495261,26043300,356.559998,354.609985,353.369995,2,4,2
2019-04-02,366.25,368.420013,362.220001,367.720001,367.720001,5158700,6.200011999999958,1.4700010000000248,0.004014,366.959991,0.002071,359.84,363.95,361.01,362.84,361.89,0.9499999999999886,1.29,-0.3400000000000114,3.09,2.63,54.02,375.23,346.78999999999996,9.79,7036100,-0.266824,31202000,366.959991,356.559998,354.609985,3,4,2
2019-04-03,369.26001,373.410004,366.190002,369.75,369.75,5368900,7.220002000000022,0.4899899999999775,0.001327,367.720001,0.005521,363.12,363.4,361.52,363.28,362.18,1.099999999999966,0.97,0.12999999999996592,3.24,2.46,56.84,376.24,346.79999999999995,9.89,5158700,0.040747,36570900,367.720001,366.959991,356.559998,4,4,2
